test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
V20_baseline_A05_C5,30.3,50 000.00,-78.18,0.99,7 358.00 (14.39%),482.64 (0.96%),510,1020,487 (95.49%),23 (4.51%),7 435.84,-7 514.02,-0.16,-5.00,4 520.45,-2 555.58
W01_sp5_A05_r05,36.3,50 000.00,-204.03,0.95,2 748.98 (5.23%),457.61 (0.91%),369,738,356 (96.48%),13 (3.52%),3 718.94,-3 922.97,-0.45,-2.85,1 074.91,-1 589.08
W01_sp5_A05_r05,470.4,50 000.00,-204.03,0.95,2 748.98 (5.23%),457.61 (0.91%),369,738,356 (96.48%),13 (3.52%),3 718.94,-3 922.97,-0.45,-2.85,1 074.91,-1 589.08
W02_sp5_A05_r1,50.5,50 000.00,-287.50,0.91,2 911.80 (5.53%),577.82 (1.15%),289,578,275 (95.16%),14 (4.84%),2 748.15,-3 035.65,-0.50,-4.16,1 046.04,-592.45
W01_sp5_A05_r05,1801.3,,,,,,,,,,,,,,,
W03_sp5_lvl10_r1,1801.2,,,,,,,,,,,,,,,
W02_sp5_A05_r1,1801.1,,,,,,,,,,,,,,,
W04_sp7_A05,1801.2,,,,,,,,,,,,,,,
W03_sp5_lvl10_r1,1801.8,,,,,,,,,,,,,,,
W05_sp10_A05,1801.7,,,,,,,,,,,,,,,
H08_wide_harv2,1386.3,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
H02_base_harv1,1800.4,,,,,,,,,,,,,,,
H03_base_harv2,1802.0,,,,,,,,,,,,,,,
W04_sp7_A05,1801.7,,,,,,,,,,,,,,,
Z01_sp5_h05,1801.5,,,,,,,,,,,,,,,
W06_sp10_lvl5_r2,1801.4,,,,,,,,,,,,,,,
Z01_sp5_h05,1801.3,,,,,,,,,,,,,,,
H03_base_harv2,1801.1,,,,,,,,,,,,,,,
Z01_sp5_h15,854.9,50 000.00,12 081.46,2.03,3 042.16 (4.67%),3 904.82 (7.03%),3040,6080,2846 (93.62%),194 (6.38%),23 776.18,-11 694.72,3.09,7.32,987.42,-1 213.71
H04_base_harv3,1801.3,,,,,,,,,,,,,,,
Z01_sp5_h20,870.8,50 000.00,12 277.35,1.93,3 256.40 (4.97%),4 648.38 (8.30%),3069,6138,2855 (93.03%),214 (6.97%),25 422.66,-13 145.31,2.64,7.04,1 311.45,-1 018.08
Z01_sp5_h20,846.5,50 000.00,12 277.35,1.93,3 256.40 (4.97%),4 648.38 (8.30%),3069,6138,2855 (93.03%),214 (6.97%),25 422.66,-13 145.31,2.64,7.04,1 311.45,-1 018.08
Z01_sp5_h20,190.3,50 000.00,12 277.35,1.93,3 256.40 (4.97%),4 648.38 (8.30%),3069,6138,2855 (93.03%),214 (6.97%),25 422.66,-13 145.31,2.64,7.04,1 311.45,-1 018.08
W05_sp10_A05,1801.1,,,,,,,,,,,,,,,
Z01_sp5_h10,1801.4,,,,,,,,,,,,,,,
W07_sp15_A05,1801.3,,,,,,,,,,,,,,,
H04_base_harv3,1801.1,,,,,,,,,,,,,,,
Z01_sp5_h30,824.4,50 000.00,12 812.83,1.86,3 375.63 (5.10%),3 569.18 (6.04%),3087,6174,2856 (92.52%),231 (7.48%),27 655.43,-14 842.60,3.59,8.63,2 094.61,-1 198.60
Z01_sp5_h30,824.4,50 000.00,12 812.83,1.86,3 375.63 (5.10%),3 569.18 (6.04%),3087,6174,2856 (92.52%),231 (7.48%),27 655.43,-14 842.60,3.59,8.63,2 094.61,-1 198.60
Z01_sp5_h30,827.0,50 000.00,12 812.83,1.86,3 375.63 (5.10%),3 569.18 (6.04%),3087,6174,2856 (92.52%),231 (7.48%),27 655.43,-14 842.60,3.59,8.63,2 094.61,-1 198.60
H05_base_harv5,1801.3,,,,,,,,,,,,,,,
Z01_sp5_h50,860.8,50 000.00,9 061.17,1.54,6 754.96 (10.26%),8 353.93 (14.15%),3044,6088,2840 (93.30%),204 (6.70%),25 911.48,-16 850.31,1.08,3.78,2 935.40,-3 035.54
Z01_sp5_h50,862.7,50 000.00,9 061.17,1.54,6 754.96 (10.26%),8 353.93 (14.15%),3044,6088,2840 (93.30%),204 (6.70%),25 911.48,-16 850.31,1.08,3.78,2 935.40,-3 035.54
Z01_sp5_h50,863.2,50 000.00,9 061.17,1.54,6 754.96 (10.26%),8 353.93 (14.15%),3044,6088,2840 (93.30%),204 (6.70%),25 911.48,-16 850.31,1.08,3.78,2 935.40,-3 035.54
W06_sp10_lvl5_r2,1801.3,,,,,,,,,,,,,,,
Z01_sp5_h15,1801.5,,,,,,,,,,,,,,,
W08_sp20_A05,1801.6,,,,,,,,,,,,,,,
Z02_sp5_A05_h20,686.7,50 000.00,854.95,1.33,1 310.24 (2.52%),216.54 (0.43%),376,752,358 (95.21%),18 (4.79%),3 471.07,-2 616.12,3.95,16.11,1 023.71,-465.98
Z02_sp5_A05_h20,686.8,50 000.00,854.95,1.33,1 310.24 (2.52%),216.54 (0.43%),376,752,358 (95.21%),18 (4.79%),3 471.07,-2 616.12,3.95,16.11,1 023.71,-465.98
Z02_sp5_A05_h20,687.1,50 000.00,854.95,1.33,1 310.24 (2.52%),216.54 (0.43%),376,752,358 (95.21%),18 (4.79%),3 471.07,-2 616.12,3.95,16.11,1 023.71,-465.98
H05_base_harv5,1801.5,,,,,,,,,,,,,,,
Z02_sp5_A05_h30,684.5,50 000.00,366.83,1.29,1 239.10 (2.40%),125.38 (0.25%),152,304,143 (94.08%),9 (5.92%),1 630.12,-1 263.29,2.93,17.05,587.01,-257.82
Z02_sp5_A05_h30,684.4,50 000.00,366.83,1.29,1 239.10 (2.40%),125.38 (0.25%),152,304,143 (94.08%),9 (5.92%),1 630.12,-1 263.29,2.93,17.05,587.01,-257.82
Z02_sp5_A05_h30,687.0,50 000.00,366.83,1.29,1 239.10 (2.40%),125.38 (0.25%),152,304,143 (94.08%),9 (5.92%),1 630.12,-1 263.29,2.93,17.05,587.01,-257.82
H06_wide_harv05,1801.7,,,,,,,,,,,,,,,
Z02_sp5_A10_h20,338.3,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
Z02_sp5_A10_h20,340.3,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
Z02_sp5_A10_h20,341.1,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
W07_sp15_A05,1801.8,,,,,,,,,,,,,,,
Z01_sp5_h20,1801.7,,,,,,,,,,,,,,,
W09_sp25_A05,1801.8,,,,,,,,,,,,,,,
Z02_sp5_A10_h30,716.9,50 000.00,973.84,1.20,2 539.08 (4.74%),353.68 (0.69%),622,1244,587 (94.37%),35 (5.63%),5 851.97,-4 878.13,2.75,8.97,1 600.56,-1 506.58
Z02_sp5_A10_h30,717.4,50 000.00,973.84,1.20,2 539.08 (4.74%),353.68 (0.69%),622,1244,587 (94.37%),35 (5.63%),5 851.97,-4 878.13,2.75,8.97,1 600.56,-1 506.58
Z02_sp5_A10_h30,717.0,50 000.00,973.84,1.20,2 539.08 (4.74%),353.68 (0.69%),622,1244,587 (94.37%),35 (5.63%),5 851.97,-4 878.13,2.75,8.97,1 600.56,-1 506.58
H06_wide_harv05,1801.9,,,,,,,,,,,,,,,
Z02_sp5_A20_h20,822.1,50 000.00,1 941.10,1.24,4 761.56 (8.40%),2 247.34 (4.25%),1188,2376,1096 (92.26%),92 (7.74%),9 934.79,-7 993.69,0.86,4.53,1 142.62,-1 627.46
