time,open,high,low,close,tick_volume,spread,real_volume
2026-04-30 14:49:00,4635.17,4635.24,4633.48,4635.02,431,130,0
2026-04-30 14:50:00,4635.02,4635.42,4631.26,4631.59,428,130,0
2026-04-30 14:51:00,4631.59,4631.99,4630.38,4630.77,452,130,0
2026-04-30 14:52:00,4630.77,4630.89,4629.97,4630.55,411,130,0
2026-04-30 14:53:00,4630.55,4630.55,4628.13,4628.6,417,130,0
2026-04-30 14:54:00,4628.6,4630.67,4628.35,4630.49,403,130,0
2026-04-30 14:55:00,4630.51,4631.66,4629.93,4630.14,459,130,0
2026-04-30 14:56:00,4630.14,4630.64,4628.91,4630.25,443,130,0
2026-04-30 14:57:00,4630.15,4631.58,4629.42,4630.32,400,130,0
2026-04-30 14:58:00,4630.32,4630.79,4628.31,4629.94,318,130,0
2026-04-30 14:59:00,4629.94,4630.37,4629.47,4630.21,366,130,0
2026-04-30 15:00:00,4630.23,4631.84,4629.54,4631.84,383,130,0
2026-04-30 15:01:00,4631.89,4636.19,4631.75,4636.07,387,130,0
2026-04-30 15:02:00,4636.0,4636.42,4632.1,4632.91,509,130,0
2026-04-30 15:03:00,4632.91,4634.68,4632.33,4634.66,418,130,0
2026-04-30 15:04:00,4634.64,4636.84,4634.34,4635.87,448,130,0
2026-04-30 15:05:00,4635.87,4635.89,4632.6,4632.71,514,130,0
2026-04-30 15:06:00,4632.71,4637.37,4632.65,4635.63,498,130,0
2026-04-30 15:07:00,4635.64,4635.69,4633.11,4633.11,417,130,0
2026-04-30 15:08:00,4633.14,4634.16,4631.32,4631.4,486,130,0
2026-04-30 15:09:00,4631.41,4632.2,4630.68,4631.22,394,130,0
2026-04-30 15:10:00,4631.23,4633.6,4631.19,4633.16,368,130,0
2026-04-30 15:11:00,4633.12,4636.04,4633.12,4634.8,451,130,0
2026-04-30 15:12:00,4634.83,4635.56,4633.85,4634.88,300,130,0
2026-04-30 15:13:00,4634.84,4635.18,4633.63,4633.67,271,130,0
2026-04-30 15:14:00,4633.65,4635.98,4633.64,4635.91,216,130,0
2026-04-30 15:15:00,4635.87,4636.64,4631.68,4632.05,456,130,0
2026-04-30 15:16:00,4632.04,4632.04,4628.8,4628.81,507,130,0
2026-04-30 15:17:00,4628.81,4630.28,4628.49,4629.31,553,130,0
2026-04-30 15:18:00,4629.3,4631.74,4629.3,4631.72,532,130,0
2026-04-30 15:19:00,4630.8,4632.38,4630.46,4631.39,521,130,0
2026-04-30 15:20:00,4631.39,4636.31,4631.23,4635.85,570,130,0
2026-04-30 15:21:00,4635.85,4637.51,4634.9,4636.49,540,130,0
2026-04-30 15:22:00,4636.49,4637.04,4633.78,4633.94,503,130,0
2026-04-30 15:23:00,4634.0,4634.41,4632.61,4633.61,471,130,0
2026-04-30 15:24:00,4633.63,4633.71,4632.2,4633.26,488,130,0
2026-04-30 15:25:00,4633.24,4635.26,4631.98,4632.76,467,130,0
2026-04-30 15:26:00,4632.76,4632.76,4630.38,4631.8,455,130,0
2026-04-30 15:27:00,4631.8,4632.69,4629.85,4630.44,402,130,0
2026-04-30 15:28:00,4630.45,4631.26,4629.09,4629.51,400,130,0
2026-04-30 15:29:00,4629.5,4630.99,4629.15,4630.42,410,130,0
2026-04-30 15:30:00,4630.01,4633.18,4625.78,4632.53,573,130,0
2026-04-30 15:31:00,4632.53,4636.32,4632.17,4632.32,544,130,0
2026-04-30 15:32:00,4632.29,4633.19,4629.97,4631.86,567,130,0
2026-04-30 15:33:00,4631.77,4632.06,4629.67,4630.11,497,130,0
2026-04-30 15:34:00,4630.12,4630.16,4627.67,4627.72,541,130,0
2026-04-30 15:35:00,4627.7,4628.95,4626.61,4627.68,499,130,0
2026-04-30 15:36:00,4627.7,4630.43,4627.58,4629.96,512,130,0
2026-04-30 15:37:00,4629.99,4632.0,4628.27,4631.24,519,130,0
2026-04-30 15:38:00,4631.21,4633.74,4631.14,4633.24,429,130,0
2026-04-30 15:39:00,4633.18,4633.2,4631.33,4631.73,448,130,0
2026-04-30 15:40:00,4631.73,4631.88,4629.38,4629.94,440,130,0
2026-04-30 15:41:00,4629.92,4630.0,4628.01,4628.51,482,130,0
2026-04-30 15:42:00,4628.54,4631.03,4628.43,4629.53,486,130,0
2026-04-30 15:43:00,4629.42,4629.87,4627.85,4628.77,446,130,0
2026-04-30 15:44:00,4628.76,4629.04,4625.52,4625.87,573,130,0
2026-04-30 15:45:00,4625.82,4628.55,4624.66,4628.46,491,130,0
2026-04-30 15:46:00,4628.47,4631.35,4628.47,4631.3,458,130,0
2026-04-30 15:47:00,4631.3,4631.3,4629.55,4630.18,573,130,0
2026-04-30 15:48:00,4630.19,4631.6,4628.81,4628.96,460,130,0
2026-04-30 15:49:00,4628.99,4629.0,4626.14,4626.98,457,130,0
2026-04-30 15:50:00,4626.99,4627.65,4625.9,4626.23,456,130,0
2026-04-30 15:51:00,4626.19,4630.6,4625.92,4630.57,488,130,0
2026-04-30 15:52:00,4630.57,4634.68,4629.74,4633.05,551,130,0
2026-04-30 15:53:00,4633.04,4634.63,4632.64,4632.92,483,130,0
2026-04-30 15:54:00,4632.94,4635.58,4632.94,4635.2,492,130,0
2026-04-30 15:55:00,4635.24,4635.25,4632.9,4633.39,470,130,0
2026-04-30 15:56:00,4633.4,4637.13,4633.24,4636.94,470,130,0
2026-04-30 15:57:00,4636.92,4637.08,4635.53,4636.4,423,130,0
2026-04-30 15:58:00,4636.38,4639.66,4635.39,4639.2,438,130,0
2026-04-30 15:59:00,4639.2,4640.13,4638.63,4639.58,494,130,0
